State	C2010	C2011	C2012	C2013	C2014	Energy
AL	718684	651032	547004	565051	575912	Coal
AK	14548	15481	15521	14819	18225	Coal
AZ	457909	459909	420570	454865	447849	Coal
AR	293689	306119	296732	327099	339214	Coal
CA	54972	55264	43832	38151	39486	Coal
CO	382623	368871	370085	363532	350526	Coal
CT	28711	6081	9290	7679	9097	Coal
DE	30253	17881	17384	18254	10238	Coal
FL	637416	552730	482984	505155	557882	Coal
GA	767906	634756	435546	426184	482657	Coal
HI	17117	16080	16572	15306	17241	Coal
ID	8527	7846	5186	7965	7472	Coal
IL	1069037	1052224	969294	1026925	1017855	Coal
IN	1449371	1333442	1193465	1198611	1221492	Coal
IA	493794	463138	422595	402402	401151	Coal
KS	359908	346521	307585	326817	316572	Coal
KY	1009823	1010623	909705	914774	913452	Coal
LA	259750	269993	238811	228055	209973	Coal
ME	2279	1542	1299	1657	2142	Coal
MD	266067	241190	192334	183191	201220	Coal
MA	83850	42963	24036	42208	29871	Coal
MI	749285	691150	621633	658172	618479	Coal
MN	315438	315604	257875	267695	313073	Coal
MS	148463	107546	82456	97767	116537	Coal
MO	801625	825650	768297	806549	780707	Coal
MT	203339	165687	157308	166104	175357	Coal
NE	254552	285384	272587	292956	276544	Coal
NV	80228	62701	52850	64838	79230	Coal
NH	33827	24489	14191	16778	14867	Coal
NJ	71961	49592	25589	25910	30731	Coal
NM	267474	284737	263439	256377	215348	Coal
NY	167094	125181	72914	68707	64655	Coal
NC	749091	624783	534713	493771	501592	Coal
ND	409684	394771	406344	393193	399195	Coal
OH	1355137	1222606	1019140	1104486	1057377	Coal
OK	346047	378320	327089	335925	336080	Coal
OR	42556	35135	28259	38900	34238	Coal
PA	1310670	1212984	1093178	1126118	1039161	Coal
RI	0	0	0	0	0	Coal
SC	404966	366160	298572	257319	305656	Coal
SD	39061	32112	35574	34246	33062	Coal
TN	515464	481127	423086	399768	427509	Coal
TX	1568060	1695239	1498818	1597357	1585961	Coal
UT	356148	346181	322055	355230	344054	Coal
VT	0	0	0	0	0	Coal
VA	346161	288348	222270	290508	278183	Coal
WA	94934	56951	42656	74955	76547	Coal
WV	848129	822645	756716	771188	816460	Coal
WI	458442	447370	373281	454554	417096	Coal
WY	484239	467671	490128	520699	489300	Coal
DC	71	48	77	4	48	Coal
AL	310023	303652	294055	299751	308765	Electricity
AK	21315	21562	21893	21387	21034	Electricity
AZ	248506	255708	256116	258159	260328	Electricity
AR	164439	163530	159885	159283	160638	Electricity
CA	882107	893745	885544	891666	895939	Electricity
CO	180555	182400	183174	182343	182189	Electricity
CT	103697	101879	100628	101761	100157	Electricity
DE	39599	39181	39304	38719	38687	Electricity
FL	788887	768009	752941	757189	771379	Electricity
GA	479971	465298	446900	445257	463315	Electricity
HI	34176	33989	32889	32425	32330	Electricity
ID	77786	79403	80905	82598	79272	Electricity
IL	493923	487526	489758	483838	482935	Electricity
IN	361653	361051	358852	359923	364888	Electricity
IA	155059	155774	155959	159358	161053	Electricity
KS	137915	139074	137481	135959	138396	Electricity
KY	319259	305505	303833	289214	268998	Electricity
LA	290292	294691	289101	292777	309224	Electricity
ME	39346	38949	39446	40449	40953	Electricity
MD	222925	217002	210908	211201	210465	Electricity
MA	194905	189605	188729	188564	185849	Electricity
MI	353651	358443	357640	351567	352508	Electricity
MN	231333	233834	231977	234214	234470	Electricity
MS	169533	168340	165099	166444	168582	Electricity
MO	293722	287478	281269	284585	286193	Electricity
MT	46988	47045	47302	47922	48117	Electricity
NE	101846	101255	105185	104750	103118	Electricity
NV	115232	115723	120034	120141	119678	Electricity
NH	37157	37084	37089	37680	37341	Electricity
NJ	270160	262246	256081	254680	252031	Electricity
NM	76526	78618	79085	78698	78869	Electricity
NY	493456	491487	488471	504618	502833	Electricity
NC	465448	447262	437026	442809	454249	Electricity
