State	Total2010	Total2011	Total2012	Total2013	Total2014	Metric
AL	1931522	1905207	1879716	1919365	1958221	Consumption
AK	653221	653637	649341	621107	603119	Consumption
AZ	1383531	1424944	1395839	1414383	1422590	Consumption
AR	1120632	1122544	1067642	1096438	1114409	Consumption
CA	7760629	7777115	7564063	7665241	7620082	Consumption
CO	1513547	1470445	1440781	1470844	1477177	Consumption
CT	764970	739130	725019	754901	750019	Consumption
DE	250212	272568	273728	273716	274013	Consumption
FL	4282673	4141711	4029903	4076406	4121680	Consumption
GA	3100144	2982837	2767491	2782782	2850990	Consumption
HI	278046	287113	280171	281329	281206	Consumption
ID	516120	516978	510869	526613	519935	Consumption
IL	3955091	3937616	3820547	3991089	4042313	Consumption
IN	2863396	2847188	2770158	2894764	2931630	Consumption
IA	1499729	1498973	1440053	1518870	1541900	Consumption
KS	1117631	1104843	1075435	1105160	1132354	Consumption
KY	1978527	1903208	1868483	1838898	1770741	Consumption
LA	4385758	4388867	4255161	4196622	4279443	Consumption
ME	415065	413893	399670	409785	410530	Consumption
MD	1464503	1410012	1368600	1395961	1400614	Consumption
MA	1416119	1397164	1363282	1428433	1437640	Consumption
MI	2753536	2785212	2687926	2832425	2881550	Consumption
MN	1857095	1850749	1816866	1858816	1912065	Consumption
MS	1177620	1155456	1143099	1138181	1155549	Consumption
MO	1910500	1856590	1781978	1847506	1903839	Consumption
MT	400855	402355	395724	405934	403446	Consumption
NE	860741	862675	852984	871815	864347	Consumption
NV	645604	632655	639190	659568	660256	Consumption
NH	294473	292979	284490	304538	310142	Consumption
NJ	2395713	2411816	2241207	2311685	2340188	Consumption
NM	649962	668675	666540	670257	679136	Consumption
NY	3723729	3611091	3503309	3626150	3742892	Consumption
NC	2685333	2558792	2481060	2530649	2554776	Consumption
ND	476072	528508	552326	594439	640095	Consumption
OH	3824933	3792585	3655849	3739974	3809648	Consumption
OK	1579910	1585212	1561913	1620837	1679856	Consumption
OR	975067	1002476	975044	991867	987145	Consumption
PA	3752280	3725014	3623997	3826959	3902434	Consumption
RI	195314	185731	183879	199165	204459	Consumption
SC	1643912	1601881	1558766	1590456	1632085	Consumption
SD	378514	378470	375950	389619	391857	Consumption
TN	2247273	2195401	2080953	2132508	2194512	Consumption
TX	11687521	11906249	11931169	12660976	12899498	Consumption
UT	756012	794058	790154	831668	797995	Consumption
VT	153697	150475	130412	137527	139897	Consumption
VA	2483360	2380922	2343908	2414477	2430205	Consumption
WA	2031428	2059630	2037127	2036309	2011941	Consumption
WV	738821	726341	720985	743612	752942	Consumption
WI	1791199	1778018	1721543	1813458	1868867	Consumption
WY	540122	556548	550182	539146	535612	Consumption
DC	190529	183806	172963	175560	178929	Consumption
AL	1419613	1400108	1433370	1463647	1353725	Production
AK	1738207	1641980	1563102	1513859	1475129	Production
AZ	580948	617956	598039	594994	635050	Production
AR	1247709	1391190	1472778	1432074	1454325	Production
CA	2532205	2634789	2334863	2390424	2413494	Production
CO	2561459	2750097	2921385	2838193	3041634	Production
CT	203188	195792	205073	207118	197271	Production
DE	3575	3976	3530	3818	4189	Production
FL	510201	500907	442188	542570	553738	Production
GA	561796	549483	555238	581082	597955	Production
HI	16245	18378	20485	25465	27166	Production
ID	130652	176717	154829	138799	154936	Production
IL	2090939	2189423	2436702	2519993	2683815	Production
IN	987568	1062319	1046014	1106441	1123098	Production
IA	673102	689146	677875	730473	757014	Production
KS	812830	781704	793080	830704	880650	Production
KY	2781466	2840858	2391118	2138426	2055121	Production
LA	3170742	3972994	3789540	3208044	2852411	Production
ME	151940	154764	152331	155380	151257	Production
MD	250812	272882	245197	248554	250058	Production
MA	108868	103058	110384	102521	124671	Production
MI	626639	680857	626107	654767	682788	Production
MN	429062	425422	417674	405967	466967	Production
MS	448713	441341	390246	410271	402842	Production
MO	198297	197714	203118	191759	199586	Production
MT	1148154	1104165	1008736	1104932	1161804	Production
NE	399822	390808	357156	370523	401699	Production
NV	51846	53807	60252	70208	71140	Production
NH	156829	131919	129929	166328	161033	Production
NJ	376845	390931	393682	403225	388386	Production
NM	2255073	2260681	2315892	2367423	2514744	Production
NY	836703	879395	817908	872500	871720	Production
NC	576162	572796	560887	606427	595660	Production
ND	1253749	1518406	2135154	2634178	3261360	Production
OH	1032440	1067943	1067944	1149882	1547368	Production
OK	2576077	2704301	2950525	3137443	3572829	Production
OR	393763	513597	496254	458848	479935	Production
PA	3064745	3870671	4730336	5873742	7087392	Production
RI	3399	3419	2822	2627	4304	Production
SC	649978	661898	646738	690644	675110	Production
SD	225387	248370	248616	236679	249789	Production
TN	505731	506701	468757	544916	499501	Production
TX	11412134	12571450	14180982	15688922	17597105	Production
UT	1073063	1128821	1118599	1122868	1170681	Production
VT	80143	80677	77979	84188	85874	Production
VA	1096973	1085234	1045095	1023009	979780	Production
WA	907957	1101186	1108998	1003330	1027404	Production
WV	3699729	3820203	3720223	3809750	4154063	Production
WI	329441	312552	333635	310413	298603	Production
WY	10536570	10353148	9611304	9233869	9361755	Production
DC	95	271	277	323	360	Production
